input,output,cycles taken 
0.3984 , 0.9439 , 971181
0.4084 , 0.9396 , 975178
0.4184 , 0.9353 , 974343
0.4284 , 0.9309 , 966400
0.4384 , 0.9264 , 965559
0.4484 , 0.9218 , 966817
0.4584 , 0.9170 , 962829
0.4684 , 0.9122 , 968577
0.4784 , 0.9073 , 970931
0.4884 , 0.9023 , 972372
0.4984 , 0.8972 , 961377
0.5084 , 0.8920 , 971298
0.5184 , 0.8867 , 965741
0.5284 , 0.8813 , 967060
0.5384 , 0.8759 , 963023
0.5484 , 0.8703 , 969497
0.5584 , 0.8646 , 965228
0.5684 , 0.8588 , 965887
0.5784 , 0.8530 , 967787
0.5884 , 0.8470 , 968456
0.5984 , 0.8410 , 964217
0.6084 , 0.8348 , 970877
0.6184 , 0.8286 , 970752
0.6284 , 0.8223 , 961652
0.6384 , 0.8158 , 968886
0.6484 , 0.8093 , 970476
0.6584 , 0.8027 , 971478
0.6684 , 0.7961 , 971910
0.6784 , 0.7893 , 969641
0.6884 , 0.7824 , 979849
0.6984 , 0.7755 , 973556
0.7084 , 0.7684 , 959789
0.7184 , 0.7613 , 967320
0.7284 , 0.7541 , 971195
0.7384 , 0.7468 , 969445
0.7484 , 0.7394 , 977043
0.7584 , 0.7319 , 975191
0.7684 , 0.7244 , 967671
0.7784 , 0.7168 , 969743
0.7884 , 0.7091 , 968349
0.7984 , 0.7013 , 973405
0.8084 , 0.6934 , 970324
0.8184 , 0.6854 , 974961
0.8284 , 0.6774 , 965647
0.8384 , 0.6693 , 969188
0.8484 , 0.6611 , 970041
0.8584 , 0.6528 , 974776
0.8684 , 0.6445 , 973169
0.8784 , 0.6361 , 968236
0.8884 , 0.6276 , 974286
0.8984 , 0.6190 , 967149
0.9084 , 0.6104 , 970778
0.9184 , 0.6017 , 963010
0.9284 , 0.5929 , 959644
0.9384 , 0.5841 , 975873
0.9484 , 0.5752 , 968180
0.9584 , 0.5662 , 970481
0.9684 , 0.5572 , 969822
0.9784 , 0.5481 , 972197
0.9884 , 0.5389 , 972343
0.9984 , 0.5297 , 967054
1.0084 , 0.5204 , 973770
1.0184 , 0.5110 , 967568
1.0284 , 0.5016 , 972725
1.0384 , 0.4921 , 970301
1.0484 , 0.4826 , 969035
1.0584 , 0.4730 , 966262
1.0684 , 0.4634 , 972951
1.0784 , 0.4537 , 969580
1.0884 , 0.4439 , 973047
1.0984 , 0.4341 , 968125
1.1084 , 0.4243 , 962732
1.1184 , 0.4144 , 976484
1.1284 , 0.4044 , 975212
1.1384 , 0.3944 , 972741
1.1484 , 0.3844 , 968277
1.1584 , 0.3743 , 974077
1.1684 , 0.3642 , 976831
1.1784 , 0.3540 , 977162
1.1884 , 0.3438 , 972640
1.1984 , 0.3336 , 966604
1.2084 , 0.3233 , 971370
1.2184 , 0.3129 , 961834
1.2284 , 0.3026 , 973679
1.2384 , 0.2922 , 970817
1.2484 , 0.2818 , 975080
1.2584 , 0.2713 , 973235
1.2684 , 0.2608 , 969146
1.2784 , 0.2503 , 971289
1.2884 , 0.2398 , 975527
1.2984 , 0.2292 , 969689
1.3084 , 0.2186 , 979663
1.3184 , 0.2080 , 970528
1.3284 , 0.1974 , 973214
1.3384 , 0.1867 , 969892
1.3484 , 0.1761 , 969898
1.3584 , 0.1654 , 969466
1.3684 , 0.1546 , 973802
1.3784 , 0.1439 , 967838
1.3884 , 0.1332 , 969563
1.3984 , 0.1224 , 967410
1.4084 , 0.1117 , 971399
1.4184 , 0.1009 , 963011
1.4284 , 0.0901 , 961142
1.4384 , 0.0793 , 969801
1.4484 , 0.0685 , 970677
1.4584 , 0.0577 , 968596
1.4684 , 0.0469 , 972859
1.4784 , 0.0361 , 964276
1.4884 , 0.0253 , 966661
1.4984 , 0.0145 , 968082
1.5084 , 0.0037 , 968602
1.5184 , -0.0070 , 964944
1.5284 , -0.0178 , 964689
1.5384 , -0.0286 , 965221
1.5484 , -0.0394 , 975012
1.5584 , -0.0501 , 970559
1.5684 , -0.0609 , 979192
1.5784 , -0.0716 , 971329
1.5884 , -0.0824 , 963964
1.5984 , -0.0931 , 972248
1.6084 , -0.1038 , 975356
1.6184 , -0.1145 , 972528
1.6284 , -0.1252 , 965785
1.6384 , -0.1359 , 970994
1.6484 , -0.1465 , 978074
1.6584 , -0.1571 , 967326
1.6684 , -0.1677 , 973017
1.6784 , -0.1783 , 969924
1.6884 , -0.1889 , 972858
1.6984 , -0.1994 , 978116
1.7084 , -0.2099 , 974370
1.7184 , -0.2204 , 964304
1.7284 , -0.2308 , 966587
1.7384 , -0.2412 , 968377
1.7484 , -0.2516 , 973003
1.7584 , -0.2620 , 972027
1.7684 , -0.2723 , 969434
1.7784 , -0.2826 , 975482
