input,output,cycles taken 
-0.1016 , 1.0278 , 7209 
-0.0916 , 1.0285 , 7209 
-0.0816 , 1.0291 , 7211 
-0.0716 , 1.0296 , 7209 
-0.0616 , 1.0300 , 7209 
-0.0516 , 1.0303 , 7210 
-0.0416 , 1.0305 , 7209 
-0.0316 , 1.0306 , 7209 
-0.0216 , 1.0306 , 7209 
-0.0116 , 1.0305 , 7209 
-0.0016 , 1.0303 , 7210 
0.0084 , 1.0300 , 7209 
0.0184 , 1.0296 , 7209 
0.0284 , 1.0291 , 7209 
0.0384 , 1.0285 , 7209 
0.0484 , 1.0278 , 7210 
0.0584 , 1.0270 , 7209 
0.0684 , 1.0261 , 7209 
0.0784 , 1.0251 , 7209 
0.0884 , 1.0240 , 7209 
0.0984 , 1.0228 , 7209 
0.1084 , 1.0215 , 7210 
0.1184 , 1.0201 , 7209 
0.1284 , 1.0185 , 7209 
0.1384 , 1.0169 , 8193 
0.1484 , 1.0152 , 7209 
0.1584 , 1.0134 , 7209 
0.1684 , 1.0115 , 7210 
0.1784 , 1.0095 , 7209 
0.1884 , 1.0074 , 7209 
0.1984 , 1.0051 , 7209 
0.2084 , 1.0028 , 7209 
0.2184 , 1.0004 , 7210 
0.2284 , 0.9979 , 7209 
0.2384 , 0.9953 , 7210 
0.2484 , 0.9925 , 7209 
0.2584 , 0.9897 , 7209 
0.2684 , 0.9868 , 7209 
0.2784 , 0.9838 , 7210 
0.2884 , 0.9807 , 7209 
0.2984 , 0.9774 , 7209 
0.3084 , 0.9741 , 7209 
0.3184 , 0.9707 , 7213 
0.3284 , 0.9672 , 7211 
0.3384 , 0.9635 , 7209 
0.3484 , 0.9598 , 7209 
0.3584 , 0.9560 , 7209 
0.3684 , 0.9521 , 7209 
0.3784 , 0.9480 , 7209 
0.3884 , 0.9439 , 7210 
0.3984 , 0.9397 , 7209 
0.4084 , 0.9354 , 7209 
0.4184 , 0.9309 , 7209 
0.4284 , 0.9264 , 8193 
0.4384 , 0.9218 , 7209 
0.4484 , 0.9171 , 7210 
0.4584 , 0.9123 , 7209 
0.4684 , 0.9074 , 7209 
0.4784 , 0.9024 , 7209 
0.4884 , 0.8973 , 7209 
0.4984 , 0.8921 , 7210 
0.5084 , 0.8868 , 7209 
0.5184 , 0.8814 , 7209 
0.5284 , 0.8759 , 7965 
0.5384 , 0.8703 , 7209 
0.5484 , 0.8647 , 7209 
0.5584 , 0.8589 , 7210 
0.5684 , 0.8530 , 7209 
0.5784 , 0.8471 , 7209 
0.5884 , 0.8410 , 7209 
0.5984 , 0.8349 , 7209 
0.6084 , 0.8286 , 7210 
0.6184 , 0.8223 , 7209 
0.6284 , 0.8159 , 7211 
0.6384 , 0.8094 , 7209 
0.6484 , 0.8028 , 7209 
0.6584 , 0.7961 , 7209 
0.6684 , 0.7893 , 7210 
0.6784 , 0.7825 , 7209 
0.6884 , 0.7755 , 7209 
0.6984 , 0.7685 , 7209 
0.7084 , 0.7614 , 7212 
0.7184 , 0.7541 , 7209 
0.7284 , 0.7468 , 7210 
0.7384 , 0.7395 , 7209 
0.7484 , 0.7320 , 7209 
0.7584 , 0.7245 , 7209 
0.7684 , 0.7168 , 7209 
0.7784 , 0.7091 , 7210 
0.7884 , 0.7013 , 7209 
0.7984 , 0.6934 , 7209 
0.8084 , 0.6855 , 7209 
0.8184 , 0.6775 , 7209 
0.8284 , 0.6693 , 7209 
0.8384 , 0.6612 , 7210 
0.8484 , 0.6529 , 7209 
0.8584 , 0.6446 , 7209 
0.8684 , 0.6361 , 7209 
0.8784 , 0.6277 , 7209 
0.8884 , 0.6191 , 7209 
0.8984 , 0.6105 , 7209 
0.9084 , 0.6018 , 7209 
0.9184 , 0.5930 , 8191 
0.9284 , 0.5841 , 7209 
0.9384 , 0.5752 , 7209 
0.9484 , 0.5663 , 7210 
0.9584 , 0.5572 , 7209 
0.9684 , 0.5481 , 7209 
0.9784 , 0.5389 , 7209 
0.9884 , 0.5297 , 7209 
0.9984 , 0.5204 , 7210 
1.0084 , 0.5111 , 7209 
1.0184 , 0.5016 , 8145 
1.0284 , 0.4922 , 7209 
1.0384 , 0.4826 , 7209 
1.0484 , 0.4731 , 7209 
1.0584 , 0.4634 , 7210 
1.0684 , 0.4537 , 7209 
1.0784 , 0.4440 , 7209 
1.0884 , 0.4342 , 7209 
1.0984 , 0.4243 , 7213 
1.1084 , 0.4144 , 7209 
1.1184 , 0.4045 , 7210 
1.1284 , 0.3945 , 7209 
1.1384 , 0.3844 , 7209 
1.1484 , 0.3744 , 7209 
1.1584 , 0.3642 , 7209 
1.1684 , 0.3541 , 7211 
1.1784 , 0.3439 , 7209 
1.1884 , 0.3336 , 7209 
1.1984 , 0.3233 , 7212 
1.2084 , 0.3130 , 7209 
1.2184 , 0.3026 , 7209 
1.2284 , 0.2923 , 7210 
1.2384 , 0.2818 , 7209 
1.2484 , 0.2714 , 7209 
1.2584 , 0.2609 , 7209 
1.2684 , 0.2504 , 7209 
1.2784 , 0.2398 , 7209 
1.2884 , 0.2293 , 7209 
1.2984 , 0.2187 , 7209 
1.3084 , 0.2081 , 7209 
1.3184 , 0.1974 , 7209 
1.3284 , 0.1868 , 7209 
1.3384 , 0.1761 , 7210 
1.3484 , 0.1654 , 7209 
1.3584 , 0.1547 , 7209 
1.3684 , 0.1440 , 7209 
1.3784 , 0.1332 , 7209 
1.3884 , 0.1225 , 7209 
1.3984 , 0.1117 , 7210 
1.4084 , 0.1009 , 7209 
1.4184 , 0.0902 , 7209 
1.4284 , 0.0794 , 7209 
1.4384 , 0.0686 , 7209 
1.4484 , 0.0578 , 7210 
1.4584 , 0.0470 , 7209 
1.4684 , 0.0362 , 7209 
1.4784 , 0.0254 , 7209 
1.4884 , 0.0146 , 7209 
1.4984 , 0.0038 , 7209 
1.5084 , -0.0070 , 7210 
1.5184 , -0.0178 , 7209 
1.5284 , -0.0286 , 7209 
1.5384 , -0.0394 , 7209 
1.5484 , -0.0502 , 7209 
1.5584 , -0.0609 , 7210 
1.5684 , -0.0717 , 7209 
1.5784 , -0.0824 , 7209 
1.5884 , -0.0932 , 7211 
1.5984 , -0.1039 , 7209 
1.6084 , -0.1146 , 7209 
1.6184 , -0.1252 , 7210 
1.6284 , -0.1359 , 7209 
1.6384 , -0.1466 , 7209 
1.6484 , -0.1572 , 7209 
1.6584 , -0.1678 , 7209 
1.6684 , -0.1783 , 7210 
1.6784 , -0.1889 , 7209 
1.6884 , -0.1994 , 7210 
1.6984 , -0.2099 , 7209 
1.7084 , -0.2204 , 7209 
1.7184 , -0.2308 , 7211 
1.7284 , -0.2413 , 7209 
1.7384 , -0.2516 , 7209 
1.7484 , -0.2620 , 7209 
1.7584 , -0.2723 , 7209 
1.7684 , -0.2826 , 7209 
1.7784 , -0.2929 , 7211 
1.7884 , -0.3031 , 7209 
1.7984 , -0.3132 , 7209 
1.8084 , -0.3234 , 7209 
1.8184 , -0.3335 , 7209 
1.8284 , -0.3435 , 7210 
1.8384 , -0.3536 , 7209 
1.8484 , -0.3635 , 7209 
1.8584 , -0.3735 , 7209 
1.8684 , -0.3834 , 7209 
1.8784 , -0.3932 , 7210 
1.8884 , -0.4030 , 8115 
1.8984 , -0.4128 , 7209 
1.9084 , -0.4225 , 7209 
1.9184 , -0.4321 , 7209 
1.9284 , -0.4417 , 7209 
1.9384 , -0.4513 , 7210 
1.9484 , -0.4608 , 7209 
1.9584 , -0.4702 , 7209 
1.9684 , -0.4796 , 7210 
1.9784 , -0.4890 , 7209 
1.9884 , -0.4983 , 8149 
1.9984 , -0.5075 , 7209 
2.0084 , -0.5167 , 7209 
2.0184 , -0.5258 , 7209 
2.0284 , -0.5349 , 7209 
2.0384 , -0.5439 , 7209 
2.0484 , -0.5529 , 7209 
2.0584 , -0.5618 , 7209 
2.0684 , -0.5706 , 7209 
