input,output,cycles taken
2.6484 , -0.9612 , 18217
2.6584 , -0.9655 , 18217
2.6684 , -0.9698 , 18217
2.6784 , -0.9740 , 18218
2.6884 , -0.9781 , 18217
2.6984 , -0.9821 , 18217
2.7084 , -0.9861 , 18216
2.7184 , -0.9899 , 18217
2.7284 , -0.9937 , 18218
2.7384 , -0.9973 , 18218
2.7484 , -1.0009 , 18218
2.7584 , -1.0044 , 18218
2.7684 , -1.0078 , 18218
2.7784 , -1.0111 , 18219
2.7884 , -1.0143 , 18219
2.7984 , -1.0174 , 18219
2.8084 , -1.0204 , 18220
2.8184 , -1.0234 , 18220
2.8284 , -1.0262 , 18222
2.8384 , -1.0290 , 18222
2.8484 , -1.0316 , 18221
2.8584 , -1.0342 , 18222
2.8684 , -1.0367 , 18223
2.8784 , -1.0390 , 18223
2.8884 , -1.0413 , 18224
2.8984 , -1.0435 , 18226
2.9084 , -1.0456 , 18228
2.9184 , -1.0476 , 18227
2.9284 , -1.0495 , 18226
2.9384 , -1.0513 , 18226
2.9484 , -1.0530 , 18225
2.9584 , -1.0547 , 18226
2.9684 , -1.0562 , 18225
2.9784 , -1.0576 , 18228
2.9884 , -1.0589 , 18226
2.9984 , -1.0602 , 18227
3.0084 , -1.0613 , 18226
3.0184 , -1.0624 , 18226
3.0284 , -1.0633 , 18226
3.0384 , -1.0641 , 18229
3.0484 , -1.0649 , 18227
3.0584 , -1.0655 , 18227
3.0684 , -1.0661 , 18229
3.0784 , -1.0665 , 18228
3.0884 , -1.0669 , 18228
3.0984 , -1.0672 , 18228
3.1084 , -1.0673 , 18227
3.1184 , -1.0674 , 18226
3.1284 , -1.0673 , 18225
