input,output,cycles taken
0.7184 , 0.7541 , 227685
0.7284 , 0.7468 , 228035
0.7384 , 0.7394 , 228040
0.7484 , 0.7319 , 228165
0.7584 , 0.7244 , 228165
0.7684 , 0.7168 , 228020
0.7784 , 0.7091 , 227870
0.7884 , 0.7013 , 227730
0.7984 , 0.6934 , 227865
0.8084 , 0.6854 , 228160
0.8184 , 0.6774 , 227915
0.8284 , 0.6693 , 227565
0.8384 , 0.6611 , 227670
0.8484 , 0.6528 , 227870
0.8584 , 0.6445 , 227725
0.8684 , 0.6361 , 227625
0.8784 , 0.6276 , 227565
0.8884 , 0.6190 , 227870
0.8984 , 0.6104 , 227300
0.9084 , 0.6017 , 226960
0.9184 , 0.5929 , 226930
0.9284 , 0.5841 , 227055
0.9384 , 0.5752 , 227060
0.9484 , 0.5662 , 227135
0.9584 , 0.5572 , 226925
0.9684 , 0.5481 , 227405
0.9784 , 0.5389 , 226785
0.9884 , 0.5297 , 227305
0.9984 , 0.5204 , 227100
1.0084 , 0.5110 , 226950
1.0184 , 0.5016 , 227120
1.0284 , 0.4921 , 227275
1.0384 , 0.4826 , 227270
1.0484 , 0.4730 , 226905
1.0584 , 0.4634 , 226660
1.0684 , 0.4537 , 226765
1.0784 , 0.4439 , 226800
1.0884 , 0.4341 , 226670
1.0984 , 0.4243 , 227160
1.1084 , 0.4144 , 227150
1.1184 , 0.4044 , 227355
1.1284 , 0.3944 , 227385
1.1384 , 0.3844 , 227250
1.1484 , 0.3743 , 227515
1.1584 , 0.3642 , 227925
1.1684 , 0.3540 , 227725
1.1784 , 0.3438 , 227805
1.1884 , 0.3336 , 228375
1.1984 , 0.3233 , 228605
1.2084 , 0.3129 , 228955
1.2184 , 0.3026 , 228180
1.2284 , 0.2922 , 228460
1.2384 , 0.2818 , 228270
1.2484 , 0.2713 , 228490
1.2584 , 0.2608 , 228450
1.2684 , 0.2503 , 228310
1.2784 , 0.2398 , 228430
1.2884 , 0.2292 , 228360
1.2984 , 0.2186 , 228755
1.3084 , 0.2080 , 228450
1.3184 , 0.1974 , 228155
1.3284 , 0.1867 , 228170
1.3384 , 0.1761 , 228140
1.3484 , 0.1654 , 227530
1.3584 , 0.1546 , 228145
1.3684 , 0.1439 , 228150
1.3784 , 0.1332 , 228395
1.3884 , 0.1224 , 228530
1.3984 , 0.1117 , 228785
1.4084 , 0.1009 , 227985
1.4184 , 0.0901 , 228340
1.4284 , 0.0793 , 228260
1.4384 , 0.0685 , 228195
1.4484 , 0.0577 , 228255
1.4584 , 0.0469 , 228390
1.4684 , 0.0361 , 227600
1.4784 , 0.0253 , 227840
1.4884 , 0.0145 , 227940
1.4984 , 0.0037 , 228235
1.5084 , -0.0070 , 228050
1.5184 , -0.0178 , 228230
1.5284 , -0.0286 , 228360
1.5384 , -0.0394 , 228350
1.5484 , -0.0501 , 228370
1.5584 , -0.0609 , 228385
1.5684 , -0.0716 , 228280
1.5784 , -0.0824 , 227980
1.5884 , -0.0931 , 228490
1.5984 , -0.1038 , 228755
1.6084 , -0.1145 , 228615
1.6184 , -0.1252 , 229075
1.6284 , -0.1359 , 228580
1.6384 , -0.1465 , 228590
1.6484 , -0.1571 , 228655
1.6584 , -0.1677 , 228095
1.6684 , -0.1783 , 228545
1.6784 , -0.1889 , 228285
1.6884 , -0.1994 , 227950
1.6984 , -0.2099 , 228180
1.7084 , -0.2204 , 227770
1.7184 , -0.2308 , 227740
1.7284 , -0.2412 , 228000
1.7384 , -0.2516 , 227530
1.7484 , -0.2620 , 227850
1.7584 , -0.2723 , 227810
1.7684 , -0.2826 , 228095
1.7784 , -0.2928 , 227775
1.7884 , -0.3030 , 227725
1.7984 , -0.3132 , 227365
1.8084 , -0.3233 , 227035
1.8184 , -0.3334 , 226835
1.8284 , -0.3435 , 227180
1.8384 , -0.3535 , 227285
1.8484 , -0.3635 , 227485
1.8584 , -0.3734 , 227370
1.8684 , -0.3833 , 227785
1.8784 , -0.3932 , 227200
1.8884 , -0.4030 , 227535
1.8984 , -0.4127 , 227445
1.9084 , -0.4224 , 228050
1.9184 , -0.4321 , 228005
1.9284 , -0.4417 , 227395
1.9384 , -0.4512 , 227070
1.9484 , -0.4607 , 227445
1.9584 , -0.4702 , 227370
1.9684 , -0.4796 , 227420
1.9784 , -0.4889 , 227960
1.9884 , -0.4982 , 228030
1.9984 , -0.5075 , 227810
2.0084 , -0.5167 , 227910
2.0184 , -0.5258 , 228015
2.0284 , -0.5349 , 227775
2.0384 , -0.5439 , 227920
2.0484 , -0.5528 , 227740
2.0584 , -0.5617 , 227910
2.0684 , -0.5706 , 227520
2.0784 , -0.5793 , 228025
2.0884 , -0.5880 , 227805
2.0984 , -0.5967 , 228040
2.1084 , -0.6053 , 227790
2.1184 , -0.6138 , 227815
2.1284 , -0.6223 , 227985
2.1384 , -0.6307 , 227550
2.1484 , -0.6390 , 227515
2.1584 , -0.6473 , 227315
2.1684 , -0.6555 , 227420
2.1784 , -0.6636 , 227220
2.1884 , -0.6716 , 227280
2.1984 , -0.6796 , 227240
2.2084 , -0.6876 , 227735
2.2184 , -0.6954 , 227310
2.2284 , -0.7032 , 227470
2.2384 , -0.7109 , 227400
2.2484 , -0.7186 , 226630
2.2584 , -0.7262 , 226920
2.2684 , -0.7337 , 226665
2.2784 , -0.7411 , 226850
2.2884 , -0.7484 , 227000
2.2984 , -0.7557 , 226470
2.3084 , -0.7629 , 226975
2.3184 , -0.7701 , 227055
2.3284 , -0.7771 , 226530
2.3384 , -0.7841 , 226455
2.3484 , -0.7910 , 227025
2.3584 , -0.7979 , 226760
2.3684 , -0.8046 , 227435
2.3784 , -0.8113 , 227420
2.3884 , -0.8179 , 227185
2.3984 , -0.8244 , 227570
2.4084 , -0.8309 , 227510
2.4184 , -0.8373 , 227480
2.4284 , -0.8435 , 227760
2.4384 , -0.8498 , 227130
2.4484 , -0.8559 , 227330
2.4584 , -0.8619 , 228045
2.4684 , -0.8679 , 227810
2.4784 , -0.8738 , 227525
2.4884 , -0.8796 , 227625
2.4984 , -0.8853 , 228110
2.5084 , -0.8910 , 227390
2.5184 , -0.8965 , 228005
2.5284 , -0.9020 , 227755
2.5384 , -0.9074 , 227655
2.5484 , -0.9127 , 227715
2.5584 , -0.9179 , 228090
2.5684 , -0.9231 , 227805
2.5784 , -0.9281 , 227870
2.5884 , -0.9331 , 228155
2.5984 , -0.9380 , 227965
2.6084 , -0.9428 , 228380
2.6184 , -0.9475 , 228105
2.6284 , -0.9522 , 227870
2.6384 , -0.9567 , 227915
2.6484 , -0.9612 , 227940
2.6584 , -0.9655 , 227725
2.6684 , -0.9698 , 227695
2.6784 , -0.9740 , 228200
2.6884 , -0.9781 , 228125
2.6984 , -0.9821 , 227700
2.7084 , -0.9861 , 227040
2.7184 , -0.9899 , 227450
2.7284 , -0.9937 , 227335
2.7384 , -0.9973 , 227480
2.7484 , -1.0009 , 227380
2.7584 , -1.0044 , 227495
2.7684 , -1.0078 , 227430
2.7784 , -1.0111 , 227825
2.7884 , -1.0143 , 227985
2.7984 , -1.0174 , 228220
2.8084 , -1.0204 , 228330
2.8184 , -1.0234 , 228275
2.8284 , -1.0262 , 228595
2.8384 , -1.0289 , 228385
2.8484 , -1.0316 , 228260
2.8584 , -1.0342 , 228320
2.8684 , -1.0366 , 228170
2.8784 , -1.0390 , 227395
2.8884 , -1.0413 , 227780
2.8984 , -1.0435 , 228070
2.9084 , -1.0456 , 227740
2.9184 , -1.0476 , 228010
2.9284 , -1.0495 , 228055
2.9384 , -1.0513 , 228050
2.9484 , -1.0530 , 227895
2.9584 , -1.0546 , 228450
2.9684 , -1.0562 , 228305
2.9784 , -1.0576 , 228200
2.9884 , -1.0589 , 228045
2.9984 , -1.0602 , 227880
3.0084 , -1.0613 , 227990
3.0184 , -1.0623 , 228370
3.0284 , -1.0633 , 227520
3.0384 , -1.0641 , 227285
3.0484 , -1.0649 , 227300
3.0584 , -1.0655 , 227425
3.0684 , -1.0661 , 227770
3.0784 , -1.0665 , 227570
3.0884 , -1.0669 , 228005
3.0984 , -1.0672 , 227590
3.1084 , -1.0673 , 227620
3.1184 , -1.0674 , 228160
3.1284 , -1.0673 , 228395
