input,output,cycles taken 
-0.4815 , 0.9250 , 61770
-0.4715 , 0.9295 , 61593
-0.4615 , 0.9338 , 61433
-0.4515 , 0.9380 , 61627
-0.4415 , 0.9422 , 61696
-0.4315 , 0.9463 , 61735
-0.4215 , 0.9502 , 61783
-0.4115 , 0.9541 , 61720
-0.4015 , 0.9579 , 61925
-0.3915 , 0.9616 , 61603
-0.3815 , 0.9652 , 61704
-0.3715 , 0.9687 , 61630
-0.3615 , 0.9721 , 61535
-0.3515 , 0.9754 , 61659
-0.3415 , 0.9786 , 61461
-0.3315 , 0.9817 , 61836
-0.3215 , 0.9848 , 61584
-0.3115 , 0.9877 , 61393
-0.3015 , 0.9905 , 61684
-0.2915 , 0.9933 , 61485
-0.2815 , 0.9959 , 61705
-0.2715 , 0.9985 , 61564
-0.2615 , 1.0009 , 61525
-0.2515 , 1.0033 , 61408
-0.2415 , 1.0055 , 61363
-0.2315 , 1.0077 , 61480
-0.2215 , 1.0098 , 61466
-0.2115 , 1.0118 , 61566
-0.2015 , 1.0136 , 61635
-0.1915 , 1.0154 , 61516
-0.1815 , 1.0171 , 61428
-0.1715 , 1.0187 , 61394
-0.1615 , 1.0202 , 61317
-0.1515 , 1.0215 , 61391
-0.1415 , 1.0228 , 61396
-0.1315 , 1.0240 , 61372
-0.1215 , 1.0251 , 61373
-0.1115 , 1.0261 , 61419
-0.1015 , 1.0270 , 61323
-0.0915 , 1.0278 , 61280
-0.0815 , 1.0285 , 61161
-0.0715 , 1.0291 , 61189
-0.0615 , 1.0296 , 61197
-0.0515 , 1.0300 , 61400
-0.0415 , 1.0303 , 61433
-0.0315 , 1.0305 , 61538
-0.0215 , 1.0306 , 61420
-0.0115 , 1.0306 , 61347
-0.0015 , 1.0305 , 61369
0.0084 , 1.0303 , 61407
0.0184 , 1.0300 , 61490
0.0284 , 1.0296 , 61617
0.0384 , 1.0291 , 61292
0.0484 , 1.0285 , 61294
0.0584 , 1.0278 , 61297
0.0684 , 1.0269 , 61287
0.0784 , 1.0260 , 61306
0.0884 , 1.0250 , 61287
0.0984 , 1.0239 , 61271
0.1084 , 1.0227 , 61359
0.1184 , 1.0214 , 61306
0.1284 , 1.0200 , 61403
0.1384 , 1.0185 , 61400
0.1484 , 1.0169 , 61521
0.1584 , 1.0152 , 61282
0.1684 , 1.0134 , 61243
0.1784 , 1.0114 , 61340
0.1884 , 1.0094 , 61359
0.1984 , 1.0073 , 61428
0.2084 , 1.0051 , 61285
0.2184 , 1.0028 , 61346
0.2284 , 1.0004 , 61288
0.2384 , 0.9978 , 61283
0.2484 , 0.9952 , 61403
0.2584 , 0.9925 , 61240
0.2684 , 0.9897 , 61544
0.2784 , 0.9867 , 61508
0.2884 , 0.9837 , 61360
0.2984 , 0.9806 , 61459
0.3084 , 0.9774 , 61343
0.3184 , 0.9741 , 61562
0.3284 , 0.9706 , 61329
0.3384 , 0.9671 , 61455
0.3484 , 0.9635 , 61422
0.3584 , 0.9597 , 61527
0.3684 , 0.9559 , 61356
0.3784 , 0.9520 , 61278
0.3884 , 0.9480 , 61367
0.3984 , 0.9439 , 61264
0.4084 , 0.9396 , 61462
0.4184 , 0.9353 , 61428
0.4284 , 0.9309 , 61451
0.4384 , 0.9264 , 61258
0.4484 , 0.9218 , 61376
0.4584 , 0.9170 , 61352
0.4684 , 0.9122 , 61367
0.4784 , 0.9073 , 61288
0.4884 , 0.9023 , 61465
0.4984 , 0.8972 , 61373
0.5084 , 0.8920 , 61237
0.5184 , 0.8867 , 61299
0.5284 , 0.8813 , 61327
0.5384 , 0.8759 , 61410
0.5484 , 0.8703 , 61367
0.5584 , 0.8646 , 61505
0.5684 , 0.8588 , 61288
0.5784 , 0.8530 , 61300
0.5884 , 0.8470 , 61755
0.5984 , 0.8410 , 61358
0.6084 , 0.8348 , 61421
0.6184 , 0.8286 , 61479
0.6284 , 0.8223 , 61623
0.6384 , 0.8158 , 61485
0.6484 , 0.8093 , 61674
0.6584 , 0.8027 , 61699
0.6684 , 0.7961 , 61608
0.6784 , 0.7893 , 61447
0.6884 , 0.7824 , 61538
0.6984 , 0.7755 , 61315
0.7084 , 0.7684 , 61451
0.7184 , 0.7613 , 61401
0.7284 , 0.7541 , 61493
0.7384 , 0.7468 , 61625
0.7484 , 0.7394 , 61475
0.7584 , 0.7319 , 61457
0.7684 , 0.7244 , 61502
0.7784 , 0.7168 , 61398
0.7884 , 0.7091 , 61313
0.7984 , 0.7013 , 61389
0.8084 , 0.6934 , 61309
0.8184 , 0.6854 , 61505
0.8284 , 0.6774 , 61459
0.8384 , 0.6693 , 61358
0.8484 , 0.6611 , 61590
0.8584 , 0.6528 , 61439
0.8684 , 0.6445 , 61487
0.8784 , 0.6361 , 61459
0.8884 , 0.6276 , 61619
0.8984 , 0.6190 , 61412
0.9084 , 0.6104 , 61422
0.9184 , 0.6017 , 61221
0.9284 , 0.5929 , 61286
0.9384 , 0.5841 , 61236
0.9484 , 0.5752 , 61296
0.9584 , 0.5662 , 61521
0.9684 , 0.5572 , 61429
0.9784 , 0.5481 , 61409
0.9884 , 0.5389 , 61555
0.9984 , 0.5297 , 61468
1.0084 , 0.5204 , 61438
1.0184 , 0.5110 , 61539
1.0284 , 0.5016 , 61488
1.0384 , 0.4921 , 61631
1.0484 , 0.4826 , 61588
1.0584 , 0.4730 , 61553
1.0684 , 0.4634 , 61485
1.0784 , 0.4537 , 61485
1.0884 , 0.4439 , 61442
1.0984 , 0.4341 , 61423
1.1084 , 0.4243 , 61491
1.1184 , 0.4144 , 61702
1.1284 , 0.4044 , 61560
1.1384 , 0.3944 , 61637
1.1484 , 0.3844 , 61830
1.1584 , 0.3743 , 61736
1.1684 , 0.3642 , 61750
1.1784 , 0.3540 , 61761
1.1884 , 0.3438 , 61677
1.1984 , 0.3336 , 61781
1.2084 , 0.3233 , 61652
1.2184 , 0.3129 , 61657
1.2284 , 0.3026 , 61628
1.2384 , 0.2922 , 61660
1.2484 , 0.2818 , 61611
1.2584 , 0.2713 , 61704
1.2684 , 0.2608 , 61474
1.2784 , 0.2503 , 61550
1.2884 , 0.2398 , 61596
1.2984 , 0.2292 , 61486
1.3084 , 0.2186 , 61728
1.3184 , 0.2080 , 61464
1.3284 , 0.1974 , 61491
1.3384 , 0.1867 , 61567
1.3484 , 0.1761 , 61575
1.3584 , 0.1654 , 61522
1.3684 , 0.1546 , 61518
1.3784 , 0.1439 , 61558
1.3884 , 0.1332 , 61729
1.3984 , 0.1224 , 61709
1.4084 , 0.1117 , 61696
1.4184 , 0.1009 , 61607
1.4284 , 0.0901 , 61696
1.4384 , 0.0793 , 61705
1.4484 , 0.0685 , 61661
1.4584 , 0.0577 , 61668
1.4684 , 0.0469 , 61505
1.4784 , 0.0361 , 61387
1.4884 , 0.0253 , 61580
1.4984 , 0.0145 , 61560
1.5084 , 0.0037 , 61601
1.5184 , -0.0070 , 61661
1.5284 , -0.0178 , 61544
1.5384 , -0.0286 , 61541
1.5484 , -0.0394 , 61621
1.5584 , -0.0501 , 61502
1.5684 , -0.0609 , 61716
1.5784 , -0.0716 , 61669
1.5884 , -0.0824 , 61608
1.5984 , -0.0931 , 61772
1.6084 , -0.1038 , 61758
1.6184 , -0.1145 , 61777
1.6284 , -0.1252 , 61884
1.6384 , -0.1359 , 61792
1.6484 , -0.1465 , 61738
1.6584 , -0.1571 , 61748
1.6684 , -0.1677 , 61795
1.6784 , -0.1783 , 61708
1.6884 , -0.1889 , 61677
1.6984 , -0.1994 , 61610
1.7084 , -0.2099 , 61625
1.7184 , -0.2204 , 61511
1.7284 , -0.2308 , 61420
1.7384 , -0.2412 , 61594
1.7484 , -0.2516 , 61878
1.7584 , -0.2620 , 61611
1.7684 , -0.2723 , 61570
1.7784 , -0.2826 , 61649
1.7884 , -0.2928 , 61505
1.7984 , -0.3030 , 61592
1.8084 , -0.3132 , 61344
1.8184 , -0.3233 , 61585
1.8284 , -0.3334 , 61450
1.8384 , -0.3435 , 61495
1.8484 , -0.3535 , 61352
1.8584 , -0.3635 , 61392
1.8684 , -0.3734 , 61386
1.8784 , -0.3833 , 61353
1.8884 , -0.3932 , 61562
1.8984 , -0.4030 , 61329
1.9084 , -0.4127 , 61435
1.9184 , -0.4224 , 61347
1.9284 , -0.4321 , 61425
1.9384 , -0.4417 , 61548
1.9484 , -0.4512 , 61488
1.9584 , -0.4607 , 61486
1.9684 , -0.4702 , 61444
1.9784 , -0.4796 , 61285
1.9884 , -0.4889 , 61391
1.9984 , -0.4982 , 61550
2.0084 , -0.5075 , 61643
2.0184 , -0.5167 , 61403
2.0284 , -0.5258 , 61457
2.0384 , -0.5349 , 61451
2.0484 , -0.5439 , 61460
2.0584 , -0.5528 , 61446
2.0684 , -0.5617 , 61587
2.0784 , -0.5706 , 61384
2.0884 , -0.5793 , 61414
2.0984 , -0.5880 , 61522
2.1084 , -0.5967 , 61553
2.1184 , -0.6053 , 61362
2.1284 , -0.6138 , 61487
2.1384 , -0.6223 , 61423
2.1484 , -0.6307 , 61299
2.1584 , -0.6390 , 61526
2.1684 , -0.6473 , 61386
2.1784 , -0.6555 , 61466
2.1884 , -0.6636 , 61391
2.1984 , -0.6716 , 61461
2.2084 , -0.6796 , 61530
2.2184 , -0.6876 , 61360
2.2284 , -0.6954 , 61277
2.2384 , -0.7032 , 61432
2.2484 , -0.7109 , 61296
2.2584 , -0.7186 , 61418
2.2684 , -0.7262 , 61281
2.2784 , -0.7337 , 61381
2.2884 , -0.7411 , 61366
2.2984 , -0.7484 , 61379
2.3084 , -0.7557 , 61177
2.3184 , -0.7629 , 61429
2.3284 , -0.7701 , 61286
2.3384 , -0.7771 , 61189
2.3484 , -0.7841 , 61281
2.3584 , -0.7910 , 61301
2.3684 , -0.7979 , 61290
2.3784 , -0.8046 , 61336
2.3884 , -0.8113 , 61316
2.3984 , -0.8179 , 61234
2.4084 , -0.8244 , 61362
2.4184 , -0.8309 , 61369
2.4284 , -0.8373 , 61262
2.4384 , -0.8435 , 61496
2.4484 , -0.8498 , 61320
2.4584 , -0.8559 , 61486
2.4684 , -0.8619 , 61332
2.4784 , -0.8679 , 61273
2.4884 , -0.8738 , 61544
2.4984 , -0.8796 , 61489
2.5084 , -0.8853 , 61321
2.5184 , -0.8910 , 61381
2.5284 , -0.8965 , 61589
2.5384 , -0.9020 , 61343
2.5484 , -0.9074 , 61387
2.5584 , -0.9127 , 61490
2.5684 , -0.9179 , 61581
